id	country	pagetotal	pdftotal	wordtotal	pointcount	linecount	polycount	lyrcount	maptotal	georef
-99										
-1	Northern Cyprus	0	0	0	0	0	0	0	0	0
-2	Kosovo	0	0	0	0	0	0	0	0	0
-3	Somaliland	0	0	0	0	0	0	0	0	0
4	Afghanistan	163385	3034	1186	6987158	707046	928816	5167	2248	1316
8	Albania	0	0	0	0	0	0	0	0	0
10	Antarctica	0	0	0	0	0	0	0	0	0
12	Algeria	0	0	0	0	0	0	0	0	0
16	American Samoa	0	0	0	0	0	0	0	0	0
20	Andorra	0	0	0	0	0	0	0	0	0
24	Angola	21	3	0	77	0	95	2	5	1
28	Antigua and Barbuda	0	0	0	0	0	0	0	0	0
31	Azerbaijan	0	0	0	15866	0	0	1	2	2
32	Argentina	0	0	0	0	0	0	0	2	0
36	Australia	0	0	0	0	0	0	0	0	0
40	Austria	0	0	0	0	0	0	0	0	0
44	Bahamas	0	0	0	0	0	0	0	0	0
48	Bahrain	3615	95	1	3846	0	0	5	103	1
50	Bangladesh	6891	255	4	498523	0	754755	172	472	409
51	Armenia	0	0	0	0	0	0	0	0	0
52	Barbados	0	0	0	0	0	0	0	0	0
56	Belgium	0	0	0	0	0	0	0	0	0
60	Bermuda	0	0	0	0	0	0	0	0	0
64	Bhutan	502	1	0	0	0	222	3	5	4
68	Bolivia	0	0	0	0	0	0	0	0	0
70	Bosnia and Herzegovina	0	0	0	0	0	0	0	4	0
72	Botswana	40	3	0	92	0	16	2	1	1
74	Bouvet Island	0	0	0	0	0	0	0	0	0
76	Brazil	0	0	0	0	0	0	0	2	0
84	Belize	0	0	0	0	0	0	0	0	0
86	British Indian Ocean Territory	0	0	0	0	0	0	0	0	0
90	Solomon Islands	0	0	0	0	0	0	0	0	0
92	British Virgin Islands	0	0	0	0	0	0	0	0	0
96	Brunei Darussalam	0	0	0	0	0	0	0	0	0
100	Bulgaria	0	0	0	0	0	0	0	0	0
104	Myanmar	0	0	0	0	0	0	0	0	0
108	Burundi	3	1	0	18	0	2	2	1	1
112	Belarus	0	0	0	10152	26182	610	11	2	1
116	Cambodia	390	27	2	0	0	0	0	163	46
120	Cameroon	77	4	0	10798	5630	517	8	170	149
124	Canada	0	0	0	0	0	0	0	0	0
132	Cape Verde	0	0	0	0	0	0	0	0	0
136	Cayman Islands	0	0	0	0	0	0	0	0	0
140	Central African Republic	8	1	0	45	0	91	5	62	61
144	Sri Lanka	0	0	0	0	0	0	0	2	2
148	Chad	558	8	1	11955	15293	453	9	122	115
152	Chile	0	0	0	0	0	0	0	0	0
156	China	1975	33	6	21301504	125496	24658	112	1714	123
158	Taiwan	0	0	0	0	0	0	0	0	0
162	Christmas Island	0	0	0	0	0	0	0	0	0
166	Cocos (Keeling) Islands	0	0	0	0	0	0	0	0	0
170	Colombia	0	0	0	0	0	0	0	160	0
174	Comoros	95	5	0	0	0	0	0	0	0
175	Mayotte	0	0	0	0	0	0	0	0	0
178	Congo	2729	31	0	7571	3146	148	8	64	61
180	Democratic Republic of the Congo	7747	97	6	25123	0	198	6	208	29
184	Cook Islands	0	0	0	0	0	0	0	0	0
188	Costa Rica	0	0	0	0	0	0	0	0	0
191	Croatia	0	0	0	0	0	0	0	0	0
192	Cuba	149	1	0	0	0	0	0	0	0
196	Cyprus	0	0	0	0	0	0	0	0	0
203	Czech Republic	0	0	0	0	0	0	0	0	0
204	Benin	178	5	0	32	0	91	4	82	82
208	Denmark	0	0	0	0	0	0	0	0	0
212	Dominica	0	0	0	0	0	0	0	0	0
214	Dominican Republic	0	0	0	0	0	0	0	0	0
218	Ecuador	0	0	0	0	0	0	0	1	0
222	El Salvador	0	0	0	0	0	0	0	0	0
226	Equatorial Guinea	0	0	0	0	0	0	0	0	0
231	Ethiopia	996	14	0	15740	7022	666	13	73	50
232	Eritrea	395	13	1	1217	1280	441	6	52	12
233	Estonia	0	0	0	0	0	0	0	0	0
234	Faroe Islands	0	0	0	0	0	0	0	0	0
238	Falkland Islands (Malvinas)	0	0	0	0	0	0	0	0	0
239	South Georgia and the South Sandwich Islands	0	0	0	0	0	0	0	0	0
242	Fiji	0	0	0	0	0	0	0	0	0
246	Finland	0	0	0	0	0	0	0	0	0
248	Åland Islands	0	0	0	0	0	0	0	0	0
250	France	0	0	0	0	0	0	0	0	0
254	French Guiana	0	0	0	0	0	0	0	0	0
258	French Polynesia	0	0	0	0	0	0	0	0	0
260	French Southern Territories	0	0	0	0	0	0	0	0	0
262	Djibouti	32166	1153	256	1245079	417129	951504	834	6058	1714
266	Gabon	3	1	0	0	0	53	1	124	121
268	Georgia	0	0	0	9730	31952	368	38	0	0
270	Gambia	0	0	0	0	0	0	0	0	0
275	Occupied Palestinian Territory	452	6	6	337626	1412763	261475	201	12	10
276	Germany	481	11	1	104346	110475	4776	7	3735	0
288	Ghana	0	0	0	0	0	0	0	0	0
292	Gibraltar	0	0	0	0	0	0	0	0	0
296	Kiribati	0	0	0	0	0	0	0	0	0
300	Greece	0	0	0	0	0	0	0	0	0
304	Greenland	0	0	0	0	0	0	0	0	0
308	Grenada	0	0	0	0	0	0	0	0	0
312	Guadeloupe	0	0	0	0	0	0	0	0	0
316	Guam	0	0	0	0	0	0	0	0	0
320	Guatemala	373	4	0	0	0	0	0	0	0
324	Guinea	37539	1248	256	1253502	420713	951994	842	6033	1664
328	Guyana	0	0	0	0	0	0	0	0	0
332	Haiti	16	6	0	54954	13002	111352	19	3	1
334	Heard Island and McDonald Islands	0	0	0	0	0	0	0	0	0
336	Holy See (Vatican City State)	0	0	0	0	0	0	0	0	0
340	Honduras	0	0	0	21162	0	15	2	1	1
344	Hong Kong	0	0	0	0	0	0	0	0	0
348	Hungary	0	0	0	0	0	0	0	1	0
352	Iceland	0	0	0	0	0	0	0	0	0
356	India	24856	371	0	0	0	32	1	1187	476
360	Indonesia	5975	232	36	282	0	113	9	649	169
364	Iran	47047	1932	1441	2013875	80147	12900	158	4703	3979
368	Iraq	17405	147	299	393087	312735	49245	693	1667	615
372	Ireland	0	0	0	0	0	0	0	0	0
376	Israel	452	6	6	337626	1412763	261475	201	12	10
380	Italy	0	0	0	47437	0	601085	7	0	0
384	Ivory Courage	163	8	0	0	0	2	1	218	197
388	Jamaica	0	0	0	0	0	0	0	0	0
392	Japan	0	0	1	226628	0	2557	24	0	0
398	Kazakhstan	0	0	0	0	0	0	0	0	0
400	Jordan	505	8	7	337642	1412763	261617	209	13	11
404	Kenya	1107	23	1	3074	5951	1647	9	35	24
408	North Korea	9198	118	5	1390	4460	708605	57	41	38
410	South Korea	0	0	0	0	0	0	0	0	0
414	Kuwait	0	0	0	0	0	0	0	8	8
417	Kyrgyzstan	0	0	0	0	0	0	0	0	0
418	Laos	0	0	0	0	0	0	0	2	2
422	Lebanon	71370	1686	124	4689395	3769926	1968373	3423	3891	1846
426	Lesotho	0	0	0	0	0	0	0	0	0
428	Latvia	0	0	0	0	0	0	0	0	0
430	Liberia	32818	1136	256	1245079	417129	951874	835	6006	1658
434	Libya	11097	367	66	502077	779349	535092	645	1732	815
438	Liechtenstein	0	0	0	0	0	0	0	0	0
440	Lithuania	0	0	0	0	0	0	0	0	0
442	Luxembourg	0	0	0	0	0	0	0	0	0
446	Macao	0	0	0	0	0	0	0	0	0
450	Madagascar	11	1	0	0	0	83	1	4	2
454	Malawi	166	6	0	784	0	0	9	0	0
458	Malaysia	244	7	0	0	0	174	3	5	5
462	Maldives	0	0	0	0	0	0	0	0	0
466	Mali	10892	103	8	659806	109545	27584	238	489	226
470	Malta	0	0	0	0	0	0	0	0	0
474	Martinique	0	0	0	0	0	0	0	0	0
478	Mauritania	486	5	1	1124	5241	115	9	89	83
480	Mauritius	0	0	0	0	0	0	0	1	1
484	Mexico	50998	2210	2788	4438956	17181534	144252	9094	4652	108
492	Monaco	0	0	0	0	0	0	0	0	0
496	Mongolia	0	0	0	1652	23097	1274	18	26	1
498	Moldova	0	0	0	0	0	0	0	0	0
499	Montenegro	0	0	0	0	0	0	0	0	0
500	Montserrat	0	0	0	0	0	0	0	0	0
504	Morocco	2734	54	31	30628	0	11976	27	367	291
508	Mozambique	6679	160	18	144087	0	920	19	442	147
512	Oman	3277	42	5	26161	1149	1050	31	236	24
516	Namibia	0	0	0	0	0	0	0	0	0
520	Nauru	0	0	0	0	0	0	0	0	0
524	Nepal	277	3	0	0	0	0	0	0	0
528	Netherlands	0	0	0	0	0	0	0	0	0
531	Curaçao	0	0	0	0	0	0	0	0	0
533	Aruba	0	0	0	0	0	0	0	0	0
534	Sint Maarten (Dutch part)	0	0	0	0	0	0	0	0	0
535	Bonaire	0	0	0	0	0	0	0	0	0
540	New Caledonia	0	0	0	0	0	0	0	0	0
548	Vanuatu	0	0	0	0	0	0	0	0	0
554	New Zealand	0	1	0	0	0	0	0	0	0
558	Nicaragua	0	0	0	0	0	0	0	0	0
562	Niger	3648	93	4	197078	29971	6073	125	636	351
566	Nigeria	4155	59	6	300702	149119	276288	154	693	329
570	Niue	0	0	0	0	0	0	0	0	0
574	Norfolk Island	0	0	0	0	0	0	0	0	0
578	Norway	0	0	0	0	0	0	0	0	0
580	Northern Mariana Islands	0	0	0	0	0	0	0	0	0
581	United States Minor Outlying Islands	0	0	0	0	0	0	0	0	0
583	Federated States of Micronesia	0	0	0	0	0	0	0	0	0
584	Marshall Islands	0	0	0	0	0	0	0	0	0
585	Palau	0	0	0	0	0	0	0	0	0
586	Pakistan	174297	1694	1211	523200	1120361	551850	982	5937	3862
591	Panama	197	12	0	0	0	0	0	0	0
598	Papua New Guinea	0	0	0	0	0	0	0	0	0
600	Paraguay	0	0	0	0	0	0	0	0	0
604	Peru	0	0	0	0	0	0	0	1	0
608	Philippines	17592	445	17	1617818	129658	845200	1008	1225	1112
612	Pitcairn	0	0	0	0	0	0	0	0	0
616	Poland	0	0	0	0	0	0	0	0	0
620	Portugal	0	0	0	0	0	0	0	0	0
624	Guinea-Bissau	8	2	0	0	0	0	0	0	0
626	Timor-Leste	0	0	0	0	0	0	0	0	0
630	Puerto Rico	0	0	0	0	0	0	0	0	0
634	Qatar	0	0	0	0	0	0	0	1	1
638	Réunion	0	0	0	0	0	0	0	0	0
642	Romania	0	0	0	0	0	0	0	0	0
643	Russian Federation	591	43	0	491434	422202	228889	459	4	0
646	Rwanda	330	2	0	0	0	0	0	0	0
652	Saint Barthélemy	0	0	0	0	0	0	0	0	0
654	Saint Helena	0	0	0	0	0	0	0	0	0
659	Saint Kitts and Nevis	0	0	0	0	0	0	0	0	0
660	Anguilla	0	0	0	0	0	0	0	0	0
662	Saint Lucia	0	0	0	0	0	0	0	0	0
663	Saint Martin (French part)	0	0	0	0	0	0	0	0	0
666	Saint Pierre and Miquelon	0	0	0	0	0	0	0	0	0
670	Saint Vincent and the Grenadines	0	0	0	0	0	0	0	0	0
674	San Marino	0	0	0	0	0	0	0	0	0
678	Sao Tome and Principe	0	0	0	0	0	0	0	0	0
682	Saudi Arabia	8816	36	2	0	0	14	1	69	67
686	Senegal	80	7	0	12918	3270	154	7	149	122
688	Serbia	2104	8	0	0	0	0	0	0	0
690	Seychelles	0	0	0	0	0	0	0	0	0
694	Sierra Leone	31	6	0	0	0	31	1	3	1
702	Singapore	0	0	0	0	0	0	0	2	2
703	Slovakia	0	0	0	0	0	0	0	0	0
704	Viet Nam	0	0	0	0	0	0	0	4	4
705	Slovenia	0	0	0	0	0	0	0	0	0
706	Somalia	6698	122	17	11108	2881	447	16	271	89
710	South Africa	299	4	0	1807	12843	24865	90	0	0
716	Zimbabwe	42338	986	780	435756	744979	490851	510	2353	141
724	Spain	0	0	0	0	0	0	0	0	0
728	South Sudan	24911	701	433	474218	761160	492249	541	1921	78
729	Sudan	7842	112	27	333152	107720	6734	50	569	501
732	Western Sahara	212	3	1	76	1745	3	5	15	8
740	Suriname	0	0	0	0	0	0	0	0	0
744	Svalbard and Jan Mayen	0	0	0	0	0	0	0	0	0
748	Swaziland	0	1	0	0	0	0	0	0	0
752	Sweden	0	0	0	1088643	559511	790	31	0	0
756	Switzerland	0	0	0	0	0	0	0	0	0
760	Syria	71989	1737	125	4689296	3769926	1966697	3414	3828	1846
762	Tajikistan	18805	289	14	0	1012	1067	12	279	1
764	Thailand	2	2	0	0	0	72	1	286	210
768	Togo	10	2	0	0	0	31	1	103	102
772	Tokelau	0	0	0	0	0	0	0	0	0
776	Tonga	0	0	0	0	0	0	0	0	0
780	Trinidad and Tobago	0	0	0	0	0	0	0	0	0
784	United Arab Emirates	0	0	0	0	0	0	0	1	1
788	Tunisia	2667	25	2	112	1396	1784	14	22	11
792	Turkey	100	15	0	103881	919114	1290144	363	14	4
795	Turkmenistan	0	0	0	1201	3062	1166	12	3	2
796	Turks and Caicos Islands	0	0	0	0	0	0	0	0	0
798	Tuvalu	0	0	0	0	0	0	0	0	0
800	Uganda	296	7	0	6317	3333	250	7	18	9
804	Ukraine	27	23	0	0	0	0	0	22	0
807	Macedonia	0	0	0	0	0	0	0	0	0
818	Egypt	13811	332	38	282401	1497599	55987	130	1964	112
826	United Kingdom	0	0	0	217	0	0	1	0	0
831	Guernsey	0	0	0	0	0	0	0	0	0
832	Jersey	0	0	0	0	0	0	0	0	0
833	Isle of Man	0	0	0	0	0	0	0	0	0
834	Tanzania	522	8	0	0	0	0	0	20	19
840	United States	3	2	1	217947	987941	244380	69	20	16
850	U.S. Virgin Islands	0	0	0	0	0	0	0	0	0
854	Burkina Faso	95	7	0	147	0	71	3	25	24
858	Uruguay	0	0	0	0	0	0	0	1	0
860	Uzbekistan	0	1	0	3656	12737	810	13	0	0
862	Venezuela	0	0	0	0	0	0	0	1	0
876	Wallis and Futuna	0	0	0	0	0	0	0	0	0
882	Samoa	0	0	0	0	0	0	0	0	0
887	Yemen	41440	383	42	1093062	12054	77839	501	16207	1238
894	Zambia	23	3	0	0	0	0	0	1	1
